66.249.66.65 - - [21/Apr/2019:04:59:15 +0300] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.69 - - [21/Apr/2019:05:27:42 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.226 - - [21/Apr/2019:14:00:48 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
3.8.22.194 - - [21/Apr/2019:14:19:19 +0300] "HEAD / HTTP/1.1" 403 - "-" "CheckMarkNetwork/1.0 (+http://www.checkmarknetwork.com/spider.html)"
66.249.69.230 - - [21/Apr/2019:22:53:09 +0300] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.69.228 - - [21/Apr/2019:22:53:10 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.151 - - [22/Apr/2019:01:59:26 +0300] "GET /photogallery.php HTTP/1.1" 404 214 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.149 - - [22/Apr/2019:02:00:10 +0300] "GET /weblinks.php HTTP/1.1" 404 210 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.149 - - [22/Apr/2019:02:00:53 +0300] "GET /news_cats.php HTTP/1.1" 404 211 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.147 - - [22/Apr/2019:02:01:21 +0300] "GET /downloads.php HTTP/1.1" 404 211 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
52.53.201.78 - - [22/Apr/2019:14:23:53 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
72.14.199.76 - - [22/Apr/2019:16:08:29 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (compatible; Google-Test;)"
66.249.79.151 - - [24/Apr/2019:04:59:16 +0300] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.149 - - [24/Apr/2019:04:59:16 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.142 - - [24/Apr/2019:07:46:29 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.140 - - [24/Apr/2019:08:56:52 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.138 - - [24/Apr/2019:08:56:52 +0300] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
163.172.166.187 - - [24/Apr/2019:10:46:32 +0300] "GET /wp-login.php HTTP/1.1" 404 210 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0"
66.249.79.147 - - [24/Apr/2019:13:37:49 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
52.53.201.78 - - [24/Apr/2019:22:04:49 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
66.249.79.151 - - [25/Apr/2019:22:54:17 +0300] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.149 - - [25/Apr/2019:22:54:18 +0300] "GET / HTTP/1.1" 403 4897 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
